Year,Month,State,Total_Crimes
2014,Jan,Uttarakhand,1580
2014,Feb,Uttarakhand,1580
2014,Mar,Uttarakhand,1580
2014,Apr,Uttarakhand,1580
2014,May,Uttarakhand,1580
2014,Jun,Uttarakhand,1580
2014,Jul,Uttarakhand,1580
2014,Aug,Uttarakhand,1580
2014,Sep,Uttarakhand,1580
2014,Oct,Uttarakhand,1580
2014,Nov,Uttarakhand,1580
2014,Dec,Uttarakhand,1580
2015,Jan,Uttarakhand,1687
2015,Feb,Uttarakhand,1687
2015,Mar,Uttarakhand,1687
2015,Apr,Uttarakhand,1687
2015,May,Uttarakhand,1687
2015,Jun,Uttarakhand,1687
2015,Jul,Uttarakhand,1687
2015,Aug,Uttarakhand,1687
2015,Sep,Uttarakhand,1687
2015,Oct,Uttarakhand,1687
2015,Nov,Uttarakhand,1687
2015,Dec,Uttarakhand,1687
2016,Jan,Uttarakhand,1828
2016,Feb,Uttarakhand,1828
2016,Mar,Uttarakhand,1828
2016,Apr,Uttarakhand,1828
2016,May,Uttarakhand,1828
2016,Jun,Uttarakhand,1828
2016,Jul,Uttarakhand,1828
2016,Aug,Uttarakhand,1828
2016,Sep,Uttarakhand,1828
2016,Oct,Uttarakhand,1828
2016,Nov,Uttarakhand,1828
2016,Dec,Uttarakhand,1828
2017,Jan,Uttarakhand,1973
2017,Feb,Uttarakhand,1973
2017,Mar,Uttarakhand,1973
2017,Apr,Uttarakhand,1973
2017,May,Uttarakhand,1973
2017,Jun,Uttarakhand,1973
2017,Jul,Uttarakhand,1973
2017,Aug,Uttarakhand,1973
2017,Sep,Uttarakhand,1973
2017,Oct,Uttarakhand,1973
2017,Nov,Uttarakhand,1973
2017,Dec,Uttarakhand,1973
2018,Jan,Uttarakhand,2120
2018,Feb,Uttarakhand,2120
2018,Mar,Uttarakhand,2120
2018,Apr,Uttarakhand,2120
2018,May,Uttarakhand,2120
2018,Jun,Uttarakhand,2120
2018,Jul,Uttarakhand,2120
2018,Aug,Uttarakhand,2120
2018,Sep,Uttarakhand,2120
2018,Oct,Uttarakhand,2120
2018,Nov,Uttarakhand,2120
2018,Dec,Uttarakhand,2120
2019,Jan,Uttarakhand,2287
2019,Feb,Uttarakhand,2287
2019,Mar,Uttarakhand,2287
2019,Apr,Uttarakhand,2287
2019,May,Uttarakhand,2287
2019,Jun,Uttarakhand,2287
2019,Jul,Uttarakhand,2287
2019,Aug,Uttarakhand,2287
2019,Sep,Uttarakhand,2287
2019,Oct,Uttarakhand,2287
2019,Nov,Uttarakhand,2287
2019,Dec,Uttarakhand,2287
2020,Jan,Uttarakhand,2156
2020,Feb,Uttarakhand,2156
2020,Mar,Uttarakhand,2156
2020,Apr,Uttarakhand,2156
2020,May,Uttarakhand,2156
2020,Jun,Uttarakhand,2156
2020,Jul,Uttarakhand,2156
2020,Aug,Uttarakhand,2156
2020,Sep,Uttarakhand,2156
2020,Oct,Uttarakhand,2156
2020,Nov,Uttarakhand,2156
2020,Dec,Uttarakhand,2156
2021,Jan,Uttarakhand,2906
2021,Feb,Uttarakhand,2906
2021,Mar,Uttarakhand,2906
2021,Apr,Uttarakhand,2906
2021,May,Uttarakhand,2906
2021,Jun,Uttarakhand,2906
2021,Jul,Uttarakhand,2906
2021,Aug,Uttarakhand,2906
2021,Sep,Uttarakhand,2906
2021,Oct,Uttarakhand,2906
2021,Nov,Uttarakhand,2906
2021,Dec,Uttarakhand,2906
2022,Jan,Uttarakhand,2884
2022,Feb,Uttarakhand,2884
2022,Mar,Uttarakhand,2884
2022,Apr,Uttarakhand,2884
2022,May,Uttarakhand,2884
2022,Jun,Uttarakhand,2884
2022,Jul,Uttarakhand,2884
2022,Aug,Uttarakhand,2884
2022,Sep,Uttarakhand,2884
2022,Oct,Uttarakhand,2884
2022,Nov,Uttarakhand,2884
2022,Dec,Uttarakhand,2884
2023,Jan,Uttarakhand,2835
2023,Feb,Uttarakhand,2835
2023,Mar,Uttarakhand,2835
2023,Apr,Uttarakhand,2835
2023,May,Uttarakhand,2835
2023,Jun,Uttarakhand,2835
2023,Jul,Uttarakhand,2835
2023,Aug,Uttarakhand,2835
2023,Sep,Uttarakhand,2835
2023,Oct,Uttarakhand,2835
2023,Nov,Uttarakhand,2835
2023,Dec,Uttarakhand,2835
